cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
pval: 0.03500000014901161 -- 181th test, time elapsed 2.142730712890625 -- emperical power so far: 0.44751381215469616
tensor(0.1781, device='cuda:1')
pval: 0.007000000216066837 -- 182th test, time elapsed 2.0949721336364746 -- emperical power so far: 0.45054945054945056
tensor(0.3053, device='cuda:1')
pval: 0.0010000000474974513 -- 183th test, time elapsed 2.145620107650757 -- emperical power so far: 0.453551912568306
tensor(0.1015, device='cuda:1')
pval: 0.05100000277161598 -- 184th test, time elapsed 2.1111979484558105 -- emperical power so far: 0.45108695652173914
tensor(0.4042, device='cuda:1')
pval: 0.0010000000474974513 -- 185th test, time elapsed 2.133869171142578 -- emperical power so far: 0.4540540540540541
tensor(0.0292, device='cuda:1')
pval: 0.20800000429153442 -- 186th test, time elapsed 2.1474006175994873 -- emperical power so far: 0.45161290322580644
tensor(0.0031, device='cuda:1')
pval: 0.3970000147819519 -- 187th test, time elapsed 2.103867292404175 -- emperical power so far: 0.44919786096256686
tensor(0.0911, device='cuda:1')
